,Name,Price,Kilometer,Process,Dealer,Address
0,2021 Audi A6 45 Tfsi Quattro S Line Mhev,"$134,990","3,947 km",Automatic,DEMO,"Southport, QLD"
1,2011 Toyota Landcruiser GXL (4X4),"$73,000",193 km,Manual,,"Cassowary, QLD"
2,2018 Mercedes-Benz GLC350 D,"$90,490","26,277 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
3,2004 Mercedes-Benz CLK320 Elegance,"$14,990","177,704 km",Automatic,USED Dealer ad,"Kedron, QLD"
4,2014 Citroen Berlingo 1.6 HDI Long,"$17,999","107,209 km",Manual,USED Dealer ad,"Coopers Plains, QLD"
5,2019 Nissan Qashqai ST-L,"$29,886","43,268 km",Automatic,USED Dealer ad,"Ipswich, QLD"
6,2007 Holden Astra CDX,"$6,999","104,050 km",Manual,USED Dealer ad,"Hamilton, QLD"
7,2013 Holden Cruze CD Equipe,"$12,990","145,834 km",Automatic,USED Dealer ad,"Capalaba, QLD"
8,2021 Suzuki Jimny ,"$42,990",180 km,Manual,,"Toowoomba, QLD"
9,2019 Tesla Model 3 Performance,"$99,990","28,129 km",Automatic,USED Dealer ad,"Woodridge, QLD"
10,2011 Mazda BT-50 Boss B2500 DX,"$12,999","208,400 km",Manual,USED Dealer ad,"Southport, QLD"
11,2006 Suzuki Swift ,"$3,800","185,000 km",Manual,,"Booval, QLD"
12,2007 Toyota RAV4 Cruiser (4X4),"$9,990","239,277 km",Automatic,USED Dealer ad,"Tugun, QLD"
13,2012 Alfa Romeo Mito ,"$10,400","100,000 km",Manual,USED Dealer ad,"Greenslopes, QLD"
14,2011 Hyundai Elantra Premium,"$13,000","105,000 km",Automatic,,"Heathwood, QLD"
15,2014 Mercedes-Benz CLA200 ,"$32,500","130,000 km",Automatic,USED Dealer ad,"Sumner, QLD"
16,2022 Mazda CX-3 Maxx Sport (fwd),"$31,485",430 km,Automatic,DEMO,"Toowoomba, QLD"
17,2008 Toyota Hilux SR5 (4X4),"$22,999","273,949 km",Manual,USED Dealer ad,"Coopers Plains, QLD"
18,2014 Honda Jazz VTI-L,"$18,990","58,019 km",Automatic,USED Dealer ad,"North Lakes, QLD"
19,2014 Mazda 3 Maxx,"$14,999","92,000 km",Automatic,USED Dealer ad,"Greenslopes, QLD"
20,2011 Mitsubishi Outlander VR-X,"$15,990","196,870 km",Automatic,USED Dealer ad,"Southport, QLD"
21,2018 Mitsubishi Triton GLX,"$24,990","38,890 km",Manual,USED Dealer ad,"Tugun, QLD"
22,2010 Hyundai Getz S,"$7,990","141,799 km",Automatic,USED Dealer ad,"Tugun, QLD"
23,2012 Nissan Dualis ST (4X2),"$9,990","282,113 km",Automatic,USED Dealer ad,"Capalaba, QLD"
24,2010 Mazda CX-7 Luxury Sports (4X4),"$12,990","168,123 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
25,2020 Hyundai I30 Active,"$26,990","17,933 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
26,2012 Hyundai I30 Elite,"$10,900","224,000 km",Automatic,USED Dealer ad,"Greenslopes, QLD"
27,2007 Toyota Hilux KUN26R SR Cab Chassis Dual Cab 4dr Man 5sp 4x4 3.0DT,"$18,990","397,001 km",Manual,USED Dealer ad,"Caboolture, QLD"
28,2014 Nissan Qashqai ST (4X2),"$14,999","104,000 km",Manual,USED Dealer ad,"Greenslopes, QLD"
29,2013 Volkswagen Golf 110 TDI Highline,"$19,990","162,981 km",Automatic,USED Dealer ad,"Underwood, QLD"
30,2014 Toyota Hilux SR5 (4X4),"$33,999","244,075 km",Manual,USED Dealer ad,"Coopers Plains, QLD"
31,2016 Mitsubishi ASX LS (2WD),"$23,990","66,873 km",Automatic,USED Dealer ad,"Kensington, QLD"
32,2008 Holden Commodore SS-V,"$28,990","219,830 km",Automatic,USED Dealer ad,"Underwood, QLD"
33,2018 Toyota Landcruiser Prado GXL (4X4),"$69,990","44,091 km",Automatic,USED Dealer ad,"Townsville, QLD"
34,2011 Suzuki Swift GL,"$8,990","96,565 km",Manual,USED Dealer ad,"Eagleby, QLD"
35,2004 Toyota Corolla Conquest Seca,"$7,999","170,970 km",Automatic,USED Dealer ad,"Springwood, QLD"
36,2012 Ssangyong Rexton RX270 XVT SPR II,"$11,990","185,498 km",Automatic,USED Dealer ad,"Morayfield, QLD"
37,2011 Honda Jazz VTI,"$9,990","89,749 km",Manual,USED Dealer ad,"Hamilton, QLD"
38,2017 Honda Civic Type R,"$56,990","70,922 km",Manual,USED Dealer ad,"Maroochydore, QLD"
39,2015 Mazda 3 SP25 Astina,"$19,990","125,030 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
40,2017 Mazda 3 Maxx,"$21,990","55,771 km",Manual,USED Dealer ad,"West Ipswich, QLD"
41,2012 Ford Focus Sport,"$11,990","116,886 km",Automatic,USED Dealer ad,"Ipswich, QLD"
42,2013 Ford Focus Trend,"$12,490","112,529 km",Automatic,USED Dealer ad,"Ipswich, QLD"
43,2021 Audi Q5 45 Tfsi Quattro Mhev,"$83,995","1,250 km",Automatic,DEMO,"Toowoomba, QLD"
44,2011 Audi A6 3.0 Tfsi Quattro,"$30,000","88,750 km",Automatic,,"Kirwan, QLD"
45,2013 Holden Commodore SS,"$38,990","190,868 km",Automatic,USED Dealer ad,"Underwood, QLD"
46,2019 Ram 1500 Laramie (4X4) FD3.9,"$116,000","86,572 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
47,2017 Hyundai Tucson Active X (fwd),"$26,990","89,135 km",Automatic,USED Dealer ad,"Caloundra West, QLD"
48,2017 Mitsubishi Lancer ES Sport,"$15,999","99,281 km",Manual,USED Dealer ad,"Everton Hills, QLD"
49,2016 Honda CR-V VTI (4X2),"$22,990","92,495 km",Manual,USED Dealer ad,"Yamanto, QLD"
50,2007 Mitsubishi Outlander LS,"$10,990","182,036 km",Automatic,USED Dealer ad,"Coorparoo, QLD"
51,2012 Holden Commodore Omega,"$14,990","146,208 km",Automatic,USED Dealer ad,"Tugun, QLD"
52,2013 Hyundai Veloster +,"$20,990","68,229 km",Manual,USED Dealer ad,"North Lakes, QLD"
53,2012 Hyundai I30 Trophy,"$15,990","64,464 km",Manual,USED Dealer ad,"Maroochydore, QLD"
54,2012 Subaru XV 2.0I-S,"$21,990","107,893 km",Manual,USED Dealer ad,"Maroochydore, QLD"
55,2011 Toyota Corolla Ascent,"$11,000","149,000 km",Automatic,USED Dealer ad,"Coorparoo, QLD"
56,2001 Nissan Patrol ST (4X4),"$20,999","228,042 km",Automatic,USED Dealer ad,"Coopers Plains, QLD"
57,2011 Hyundai I30 SX 1.6 Crdi,"$12,990","137,920 km",Automatic,USED Dealer ad,"Capalaba, QLD"
58,2018 Kia Cerato S (AV),"$18,900","53,000 km",Automatic,USED Dealer ad,"Greenslopes, QLD"
59,2014 Hyundai Santa FE Highlander Crdi (4X4),"$23,990","219,582 km",Automatic,USED Dealer ad,"Capalaba, QLD"
60,2013 Mitsubishi Outlander LS (4X2),"$14,950","193,299 km",Automatic,USED Dealer ad,"Woongoolba, QLD"
61,2016 Hyundai Iload ,"$31,880","117,000 km",Automatic,USED Dealer ad,"Sumner, QLD"
62,2016 Toyota Hilux Workmate,"$28,990","110,641 km",Manual,USED Dealer ad,"Aspley, QLD"
63,2005 Mini Cabrio Cooper,"$13,990","72,178 km",Manual,USED Dealer ad,"Capalaba, QLD"
64,2015 Kia Cerato S,"$16,886","65,235 km",Automatic,USED Dealer ad,"Ipswich, QLD"
65,2021 Ram 2500 Laramie Crew Cab,"$189,990","9,132 km",Automatic,USED Dealer ad,"Townsville, QLD"
66,2004 Ford Explorer XLT (4X4),"$11,995","210,247 km",Automatic,USED Dealer ad,"Moorooka, QLD"
67,2014 Mitsubishi Triton GLX Double Cab,"$23,990","162,633 km",Manual,USED Dealer ad,"Caboolture, QLD"
68,2017 Nissan Qashqai ST (4X2),"$25,790","60,816 km",Manual,USED Dealer ad,"Bundaberg West, QLD"
69,2009 Ford Falcon XR6,"$9,990","229,471 km",Automatic,USED Dealer ad,"Morayfield, QLD"
70,2016 Mercedes-Benz A250 Sport,"$37,999","114,456 km",Automatic,USED Dealer ad,"Everton Hills, QLD"
71,2016 Kia Cerato S (AV),"$17,886","68,866 km",Automatic,USED Dealer ad,"Ipswich, QLD"
72,2010 Toyota HiAce LWB,"$27,990","210,000 km",Automatic,USED Dealer ad,"Archerfield, QLD"
73,2005 Nissan 350Z Touring,"$21,990","106,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
74,2010 Suzuki Grand Vitara (4X4),"$14,990","146,323 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
75,2011 Mercedes-Benz C200 Elegance BE,"$18,750","135,001 km",Automatic,USED Dealer ad,"Banyo, QLD"
76,2010 Honda Accord Euro Euro,"$9,995","210,050 km",Manual,USED Dealer ad,"Loganholme, QLD"
77,2005 Nissan 350Z Touring,"$21,990","104,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
78,2011 Mazda CX-7 Classic (fwd),"$14,990","142,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
79,2013 Mazda CX-5 Maxx (4X2),"$14,886","240,433 km",Manual,USED Dealer ad,"Ipswich, QLD"
80,2012 Nissan Dualis TI-L (4X2),"$15,990","173,627 km",Manual,USED Dealer ad,"Maroochydore, QLD"
81,2014 Volkswagen Scirocco R,"$30,990","66,400 km",Manual,USED Dealer ad,"Brisbane City, QLD"
82,2003 Holden Commodore SS,"$17,999","220,000 km",Automatic,USED Dealer ad,"Ashmore, QLD"
83,2011 Holden Captiva 5 (FWD),"$8,999","165,008 km",Automatic,USED Dealer ad,"Hamilton, QLD"
84,2010 Honda Accord Euro Luxury,"$15,990","70,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
85,2005 Mazda Bravo DX 4x2,"$10,990","156,756 km",Manual,USED Dealer ad,"Archerfield, QLD"
86,2009 Subaru Forester X,"$14,990",103 km,Manual,USED Dealer ad,"Clontarf, QLD"
87,2017 Hyundai Tucson Active X (fwd),"$29,995","30,835 km",Automatic,USED Dealer ad,"Lakes HyundaiNorth Lakes, QLD"
88,2004 BMW 120I ,"$7,999","115,700 km",Manual,USED Dealer ad,"Ashmore, QLD"
89,2018 Kia Cerato Sport,"$26,990","34,964 km",Automatic,USED Dealer ad,"Ipswich, QLD"
90,2009 BMW 118D ,"$9,990","185,913 km",Manual,USED Dealer ad,"Moorooka, QLD"
91,2005 Toyota Camry Altise,"$11,995","74,030 km",Automatic,USED Dealer ad,"Loganholme, QLD"
92,2014 Kia Sorento SLI (4X2),"$25,990","119,515 km",Automatic,USED Dealer ad,"Aspley, QLD"
93,2013 Toyota Landcruiser Prado GXL (4X4),"$31,950","393,824 km",Automatic,USED Dealer ad,"Woongoolba, QLD"
94,2013 Hyundai IX35 SE (awd),"$22,990","64,047 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
95,2020 Mazda BT-50 GT (4X4),"$74,990","17,788 km",Automatic,USED Dealer ad,"Capalaba, QLD"
96,2017 Volkswagen Polo 81 TSI Comfortline,"$15,995","105,446 km",Automatic,USED Dealer ad,"Capalaba, QLD"
97,2014 Hyundai Veloster ,"$23,995","83,480 km",Manual,USED Dealer ad,"Garbutt, QLD"
98,2022 Volvo XC60 B5 Inscription Mhev,"$79,900","4,500 km",Automatic,USED Dealer ad,"Southport, QLD"
99,2016 Honda Jazz VTI,"$15,990","50,403 km",Manual,USED Dealer ad,"North Lakes, QLD"
100,2012 Skoda Fabia RS 132 TSI,"$11,845","131,686 km",Automatic,USED Dealer ad,"Eagle Farm, QLD"
101,2021 Mazda BT-50 XTR (4X4),"$67,516","2,863 km",Automatic,DEMO,"Toowoomba, QLD"
102,2005 Honda MDX ,"$9,900","212,000 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
103,2012 Holden Colorado LTZ (4X2),"$29,990","133,255 km",Manual,USED Dealer ad,"Ipswich, QLD"
104,2018 Hyundai Kona GO (fwd),"$26,990","16,170 km",Automatic,USED Dealer ad,"Lakes HyundaiNorth Lakes, QLD"
105,2013 Mazda BT-50 XT (4X4),"$26,886","130,363 km",Manual,USED Dealer ad,"Ipswich, QLD"
106,2009 Hyundai Imax ,"$13,990","230,777 km",Automatic,USED Dealer ad,"Ipswich, QLD"
107,2015 Chrysler 300 SRT8,"$60,881","122,732 km",Automatic,USED Dealer ad,"Underwood, QLD"
